Player Name,Team,Position,NFC Rank,NFC Draft Position,NFC Position Rank,Consensus Rank,Consensus Draft Position,Consensus Position Rank,Sleeper Rank,Sleeper Draft Position,Sleeper Position Rank,ESPN Rank,ESPN Draft Position,ESPN Position Rank,Yahoo Rank,Yahoo Draft Position,Yahoo Position Rank
Jakobi Meyers,LV,WR,71,6.11,38,75,7.03,36,81,7.09,35,74,7.02,35,79,7.07,37
Mark Andrews,BAL,TE,98,9.02,8,76,7.04,7,73,7.01,7,85,8.01,8,77,7.05,6
Tyrone Tracy,NYG,RB,79,7.07,27,77,7.05,27,91,8.07,31,80,7.08,27,67,6.07,26
Kaleb Johnson,PIT,RB,83,7.11,29,78,7.06,28,79,7.07,29,90,8.06,30,70,6.10,28
Bo Nix,DEN,QB,102,9.06,9,79,7.07,8,72,6.12,8,87,8.03,8,82,7.10,7
Stefon Diggs,NE,WR,78,7.06,42,80,7.08,37,86,8.02,39,79,7.07,40,78,7.06,36
Jaylen Warren,PIT,RB,84,7.12,30,81,7.09,29,94,8.10,33,81,7.09,28,75,7.03,30
Evan Engram,DEN,TE,101,9.05,9,82,7.10,8,76,7.04,8,86,8.02,9,93,8.09,9
Matthew Golden,GB,WR,75,7.03,40,83,7.11,38,90,8.06,40,76,7.04,37,95,8.11,42
David Njoku,CLE,TE,107,9.11,10,84,7.12,9,84,7.12,9,84,7.12,7,94,8.10,10
Jordan Addison,MIN,WR,77,7.05,41,85,8.01,39,83,7.11,37,96,8.12,41,83,7.11,40
Emeka Egbuka,TB,WR,54,5.06,28,86,8.02,40,95,8.11,41,98,9.02,43,73,7.01,35
Ricky Pearsall,SF,WR,62,6.02,33,87,8.03,41,98,9.01,43,101,9.05,46,71,6.11,34
Kyler Murray,ARI,QB,128,11.08,11,88,8.04,9,93,8.09,10,88,8.04,9,98,9.02,11
Deebo Samuel,WAS,WR,74,7.02,39,89,8.05,42,82,7.10,36,100,9.04,45,99,9.03,43
Cooper Kupp,SEA,WR,94,8.10,47,90,8.06,43,85,8.01,38,78,7.06,39,119,10.11,49
Brock Purdy,SF,QB,126,11.06,10,91,8.07,10,109,9.09,12,89,8.05,10,86,8.02,8
Joe Mixon,HOU,RB,106,9.10,37,92,8.08,30,70,6.10,26,92,8.08,32,122,11.02,41
Jauan Jennings,SF,WR,86,8.02,43,93,8.09,44,102,9.04,45,99,9.03,44,84,7.12,41
J.K. Dobbins,DEN,RB,97,9.01,34,94,8.10,31,108,9.08,36,93,8.09,33,92,8.08,33
Chris Godwin,TB,WR,95,8.11,48,95,8.11,45,100,9.02,44,73,7.01,34,123,11.03,51
Jordan Mason,MIN,RB,85,8.01,31,96,8.12,32,107,9.07,35,118,10.10,40,74,7.02,29
Khalil Shakir,BUF,WR,87,8.03,44,97,9.01,46,96,8.12,42,97,9.01,42,106,9.10,45
Travis Etienne,JAX,RB,88,8.04,32,98,9.02,33,92,8.08,32,115,10.07,37,96,8.12,34
Dak Prescott,DAL,QB,99,9.03,8,99,9.03,11,115,10.03,13,105,9.09,13,89,8.05,9
Justin Herbert,LAC,QB,151,13.08,16,100,9.04,12,105,9.06,11,103,9.07,11,105,9.09,15
Michael Pittman,IND,WR,90,8.06,45,101,9.05,47,122,10.08,48,77,7.05,38,114,10.06,48
Tyler Warren,IND,TE,91,8.07,7,102,9.06,10,87,8.03,10,113,10.05,10,113,10.05,12
Jayden Reed,GB,WR,100,9.04,50,103,9.07,48,110,9.10,46,107,9.11,48,104,9.08,44
Javonte Williams,DAL,RB,103,9.07,35,104,9.08,34,112,9.12,38,95,8.11,35,115,10.07,38
Jared Goff,DET,QB,130,11.10,13,105,9.09,13,89,8.05,9,123,11.03,17,111,10.03,17
Rhamondre Stevenson,NE,RB,118,10.10,43,106,9.10,35,128,10.12,40,94,8.10,34,103,9.07,36
Tucker Kraft,GB,TE,111,10.03,11,107,9.11,11,117,10.05,15,126,11.06,12,85,8.01,7
Cam Skattebo,NYG,RB,104,9.08,36,108,9.12,36,101,9.03,34,114,10.06,36,120,10.12,40
Josh Downs,IND,WR,96,8.12,49,109,10.01,49,120,10.06,47,110,10.02,51,107,9.11,46
Zach Charbonnet,SEA,RB,80,7.08,28,110,10.02,37,111,9.11,37,131,11.11,44,97,9.01,35
Caleb Williams,CHI,QB,129,11.09,12,111,10.03,14,139,11.07,16,104,9.08,12,102,9.06,14
Keon Coleman,BUF,WR,93,8.09,46,112,10.04,50,124,10.10,50,102,9.06,47,121,11.01,50
Tank Bigsby,JAX,RB,116,10.08,42,113,10.05,38,140,11.08,42,117,10.09,39,90,8.06,32
Austin Ekeler,WAS,RB,121,11.01,44,114,10.06,39,131,11.02,41,91,8.07,31,131,11.11,46
Jacory Croskey-Merritt,WAS,RB,89,8.05,33,115,10.07,40,156,12.08,46,82,7.10,29,117,10.09,39
Drake Maye,NE,QB,141,12.10,14,116,10.08,15,136,11.05,15,121,11.01,15,100,9.04,12
Rashid Shaheed,NO,WR,119,10.11,56,117,10.09,51,138,11.06,53,111,10.03,52,108,9.12,47
Colston Loveland,CHI,TE,120,10.12,12,118,10.10,12,103,9.05,11,125,11.05,11,130,11.10,15
Dalton Kincaid,BUF,TE,139,12.08,14,119,10.11,13,113,10.01,12,129,11.09,15,118,10.10,14
Justin Fields,NYJ,QB,142,12.11,15,120,10.12,16,154,12.07,19,106,9.10,14,101,9.05,13
Quinshon Judkins,CLE,RB,123,11.03,45,121,11.01,41,78,7.06,28,120,10.12,42,163,14.06,55
Jake Ferguson,DAL,TE,132,11.12,13,122,11.02,14,129,11.01,16,128,11.08,14,112,10.04,11
Darnell Mooney,ATL,WR,117,10.09,55,123,11.03,52,135,11.04,52,109,10.01,50,134,12.02,53
Jordan Love,GB,QB,157,14.02,18,124,11.04,17,147,11.12,17,122,11.02,16,110,10.02,16
Jayden Higgins,HOU,WR,112,10.04,53,125,11.05,53,123,10.09,49,112,10.04,53,146,13.02,57
Braelon Allen,NYJ,RB,109,10.01,39,126,11.06,42,159,12.10,47,135,12.03,48,88,8.04,31
Dallas Goedert,PHI,TE,154,13.11,16,127,11.07,15,143,11.10,17,127,11.07,13,116,10.08,13
Brian Robinson,SF,RB,114,10.06,40,128,11.08,43,88,8.04,30,160,14.06,55,142,12.10,49
C.J. Stroud,HOU,QB,158,14.03,19,129,11.09,18,121,10.07,14,145,13.01,21,132,11.12,19
J.J. McCarthy,MIN,QB,152,13.09,17,130,11.10,19,149,12.02,18,124,11.04,18,125,11.05,18
Tyjae Spears,TEN,RB,136,12.05,51,131,11.11,44,153,12.06,45,116,10.08,38,129,11.09,45
Keenan Allen,CHI,WR,122,11.02,57,132,11.12,54,158,12.09,57,108,9.12,49,143,12.11,56
Rachaad White,TB,RB,150,13.07,55,133,12.01,45,164,12.12,49,119,10.11,41,128,11.08,44
Jaydon Blue,DAL,RB,124,11.04,46,134,12.02,46,141,11.09,43,132,11.12,45,139,12.07,48
Brandon Aiyuk,SF,WR,127,11.07,58,135,12.03,55,134,11.03,51,140,12.08,58,140,12.08,55
Kyle Pitts,ATL,TE,143,12.12,15,136,12.04,16,114,10.02,13,142,12.10,17,160,14.03,20
Nick Chubb,HOU,RB,135,12.04,50,137,12.05,47,127,10.11,39,151,13.07,54,150,13.06,52
Bhayshul Tuten,JAX,RB,115,10.07,41,138,12.06,48,173,13.07,50,148,13.04,51,109,10.01,37
Jonnu Smith,PIT,TE,175,15.08,20,139,12.07,17,116,10.04,14,166,14.12,19,154,13.10,18
Trey Benson,ARI,RB,108,9.12,38,140,12.08,49,163,12.11,48,130,11.10,43,144,12.12,50
Hunter Henry,NE,TE,172,15.05,18,141,12.09,18,172,13.06,20,141,12.09,16,136,12.04,16
Rashod Bateman,BAL,WR,133,12.01,59,142,12.10,56,168,13.03,59,155,13.12,62,126,11.06,52
Marvin Mims,DEN,WR,110,10.02,52,143,12.11,57,148,12.01,54,153,13.10,60,151,13.07,59
Christian Kirk,HOU,WR,105,9.09,51,144,12.12,58,166,13.02,58,154,13.11,61,135,12.03,54
Jake Bobo,SEA,WR,297,26.11,127,145,13.01,59,,26.12,,152,13.08,59,,26.11,
Jerome Ford,CLE,RB,147,13.04,54,146,13.02,50,184,14.03,53,146,13.02,49,127,11.07,43
Zach Ertz,WAS,TE,170,15.03,17,147,13.03,19,151,12.04,18,165,14.11,18,147,13.03,17
Tyler Allgeier,ATL,RB,146,13.03,53,148,13.04,51,186,14.05,55,133,12.01,46,148,13.04,51
Luther Burden III,CHI,WR,113,10.05,54,149,13.05,60,150,12.03,55,157,14.02,64,161,14.04,62
Ray Davis,BUF,RB,131,11.11,48,150,13.06,52,182,14.01,52,149,13.05,52,138,12.06,47
Najee Harris,LAC,RB,134,12.02,49,151,13.07,53,145,11.11,44,147,13.03,50,181,15.06,60
Adam Thielen,CAR,WR,165,14.10,69,152,13.08,61,169,13.04,60,136,12.04,54,171,14.12,64
Cedric Tillman,CLE,WR,137,12.06,60,153,13.09,62,190,14.09,65,138,12.06,56,149,13.05,58
Tyrell Shavers,BUF,WR,,,,154,13.10,63,,31.08,,159,14.05,66,,31.07,
Tre Harris,LAC,WR,149,13.06,65,155,13.11,64,152,12.05,56,158,14.03,65,179,15.05,67
Jaylen Wright,MIA,RB,168,15.01,63,156,13.12,54,194,15.01,57,134,12.02,47,166,14.09,57
Matthew Stafford,LAR,QB,219,19.04,25,157,14.01,20,207,15.09,25,144,12.12,20,153,13.09,24
Dylan Sampson,CLE,RB,125,11.05,47,158,14.02,55,185,14.04,54,196,15.06,59,124,11.04,42
Hollywood Brown,KC,WR,132,12.03,60,159,14.03,65,192,14.11,66,139,12.07,57,174,15.02,65
Tua Tagovailoa,MIA,QB,196,17.05,23,160,14.04,21,209,15.11,26,143,12.11,19,155,13.11,25
Trevor Lawrence,JAX,QB,160,14.05,20,161,14.05,22,179,13.11,21,198,15.08,22,133,12.01,20
Wan'Dale Robinson,NYG,WR,144,13.01,62,162,14.06,66,193,14.12,67,152,13.09,59,170,14.11,63
Xavier Legette,CAR,WR,155,13.12,66,163,14.07,67,189,14.08,64,137,12.05,55,191,15.11,69
Brenton Strange,JAX,TE,173,15.06,19,164,14.08,20,187,14.06,21,168,15.02,21,164,14.07,21
Demario Douglas,NE,WR,145,13.02,63,165,14.09,68,208,15.10,69,156,14.01,63,156,13.12,61
Michael Penix,ATL,QB,178,15.11,21,166,14.10,23,183,14.02,22,200,15.10,24,141,12.09,22
Kyle Williams,NE,WR,164,14.09,68,167,14.11,69,175,13.08,61,164,14.10,68,188,15.10,68
Will Shipley,PHI,RB,153,13.10,56,168,14.12,56,217,16.06,61,150,13.06,53,165,14.08,56
Josh Palmer,BUF,WR,148,13.05,64,169,15.01,70,181,13.12,63,201,15.11,72,152,13.08,60
Cameron Ward,TEN,QB,197,17.06,24,170,15.02,24,165,13.01,20,199,15.09,23,178,15.04,26
Bryce Young,CAR,QB,180,16.01,22,171,15.03,25,191,14.10,23,218,17.04,25,137,12.05,21
Chigoziem Okonkwo,TEN,TE,193,17.02,22,172,15.04,21,204,15.06,23,207,16.05,23,157,14.01,19
Rico Dowdle,CAR,RB,156,14.01,57,173,15.05,57,195,15.02,58,222,17.08,64,158,14.02,53
Isaac Guerendo,SF,RB,163,14.08,60,174,15.06,58,176,13.09,51,244,19.02,73,162,14.05,54
Romeo Doubs,GB,WR,159,14.04,67,175,15.07,71,215,16.04,72,193,15.03,69,175,15.03,66
Roschon Johnson,CHI,RB,184,16.05,68,176,15.08,59,225,17.02,63,195,15.05,58,169,14.10,58
Nick Westbrook-Ikhine,MIA,WR,257,22.08,108,177,15.09,72,,29.10,,197,15.07,71,,29.11,
Woody Marks,HOU,RB,161,14.06,58,178,15.10,60,210,15.12,60,212,16.10,60,173,15.01,59
Darren Waller,MIA,TE,235,20.08,31,179,15.11,22,202,15.05,22,167,15.01,20,233,18.03,29
Geno Smith,LV,QB,227,19.12,26,180,15.12,26,238,17.08,30,219,17.05,26,145,13.01,23
Brandin Cooks,NO,WR,267,25.08,114,181,16.01,73,,24.05,,203,16.01,74,,24.04,
Chris Rodriguez,WAS,RB,169,15.02,64,182,16.02,61,,24.07,,,27.04,,204,16.07,69
Jack Bech,LV,WR,201,17.10,81,183,16.03,74,196,15.03,68,163,14.09,67,256,19.10,89
Blake Corum,LAR,RB,167,14.12,62,184,16.04,62,222,16.11,62,214,16.12,62,182,15.07,61
Dont'e Thornton,LV,WR,174,15.07,70,185,16.05,75,178,13.10,62,210,16.08,79,235,18.05,78
DeAndre Hopkins,BAL,WR,200,17.09,80,186,16.06,76,213,16.03,71,205,16.03,76,213,17.02,75
Ollie Gordon,MIA,RB,138,12.07,52,187,16.07,63,198,15.04,59,246,19.04,75,187,15.09,63
Elic Ayomanor,TEN,WR,179,15.12,73,188,16.08,77,211,16.01,70,,28.03,,210,16.12,73
MarShawn Lloyd,GB,RB,213,18.10,75,189,16.09,64,277,19.11,74,162,14.08,57,193,16.01,65
Pat Bryant,DEN,WR,176,15.09,71,190,16.10,78,223,16.12,74,208,16.06,77,206,16.09,71
Quentin Johnston,LAC,WR,188,16.09,74,191,16.11,79,244,18.02,78,209,16.07,78,195,16.02,70
Mason Taylor,NYJ,TE,199,17.08,23,192,16.12,23,218,16.07,26,215,17.01,24,217,17.03,23
Sean Tucker,TB,RB,186,16.07,70,193,17.01,65,,30.08,,247,19.05,76,192,15.12,64
Kareem Hunt,KC,RB,190,16.11,73,194,17.02,66,188,14.07,56,213,16.11,61,260,19.12,77
Pat Freiermuth,PIT,TE,218,19.03,26,195,17.03,24,221,16.10,28,216,17.02,25,226,17.09,25
Adonai Mitchell,IND,WR,217,19.02,91,196,17.04,80,248,18.05,79,211,16.09,80,208,16.11,72
Kyle Monangai,CHI,RB,182,16.03,67,197,17.05,67,240,17.10,66,245,19.03,74,183,15.08,62
Justice Hill,BAL,RB,189,16.10,72,198,17.06,68,243,18.01,68,161,14.07,56,265,20.04,78
Michael Wilson,ARI,WR,209,18.06,88,199,17.07,81,271,19.06,87,159,14.04,66,240,18.09,81
D.J. Giddens,IND,RB,171,15.04,65,200,17.08,69,247,18.04,69,225,17.11,66,201,16.05,67
Sam Darnold,SEA,QB,228,20.01,27,201,17.09,27,235,17.06,29,220,17.06,27,220,17.05,28
Isaac TeSlaa,DET,WR,177,15.10,72,202,17.10,82,229,17.03,76,,28.08,,222,17.06,77
Aaron Rodgers,PIT,QB,254,22.04,29,203,17.11,28,212,16.02,27,268,20.10,29,198,16.03,27
Samaje Perine,CIN,RB,275,24.05,93,204,17.12,70,,30.07,,226,17.12,67,,30.05,
Miles Sanders,DAL,RB,222,19.07,78,205,18.01,71,249,18.06,70,223,17.09,65,207,16.10,70
Gabe Davis,JAX,WR,,,,206,18.02,83,,26.01,,227,18.01,82,,26.02,
Cade Otton,TB,TE,211,18.08,24,207,18.03,25,220,16.09,27,206,16.04,22,258,19.11,32
Dalton Schultz,HOU,TE,245,21.06,33,208,18.04,26,242,17.12,29,217,17.03,26,227,17.10,26
Elijah Arroyo,SEA,TE,241,21.03,32,209,18.05,27,206,15.08,24,258,19.12,27,223,17.07,24
Isaiah Likely,BAL,TE,183,16.04,21,210,18.06,28,171,13.05,19,290,22.05,31,234,18.04,30
Dameon Pierce,HOU,RB,202,17.11,74,211,18.07,72,,24.11,,,27.07,,232,18.02,73
Tre Tucker,LV,WR,221,19.06,93,212,18.08,84,,31.04,,234,18.08,89,,31.02,
Tyler Lockett,TEN,WR,205,18.02,84,213,18.09,85,219,16.08,73,194,15.04,70,289,22.04,99
Jalen Royals,KC,WR,210,18.07,89,214,18.10,86,251,18.08,81,,29.01,,218,17.04,76
Mike Gesicki,CIN,TE,212,18.09,25,215,18.11,29,216,16.05,25,259,20.01,28,230,18.01,28
Keaton Mitchell,BAL,RB,162,14.07,59,216,18.12,73,234,17.05,64,249,19.07,78,225,17.08,71
Tory Horton,SEA,WR,195,17.04,78,217,19.01,87,237,17.07,77,,31.06,,238,18.08,80
Jarquez Hunter,LAR,RB,185,16.06,69,218,19.02,74,252,18.09,71,266,20.08,82,199,16.04,66
Tahj Brooks,CIN,RB,166,14.11,61,219,19.03,75,239,17.09,65,282,22.01,89,203,16.06,68
Clyde Edwards-Helaire,NO,RB,,,,220,19.04,76,,24.09,,243,19.01,72,,24.10,
Alec Pierce,IND,WR,203,17.12,82,221,19.05,88,250,18.07,80,271,21.02,96,211,17.01,74
Ty Johnson,BUF,RB,248,21.10,83,222,19.06,77,,31.05,,240,18.10,69,249,19.04,76
Kendre Miller,NO,RB,187,16.08,71,223,19.07,78,288,20.05,75,221,17.07,63,228,17.11,72
Darius Slayton,NYG,WR,220,19.05,92,224,19.08,89,286,20.04,89,204,16.02,75,250,19.05,85
Dyami Brown,JAX,WR,215,18.12,90,225,19.09,90,267,19.04,86,230,18.04,85,243,18.11,82
Jalen McMillan,TB,WR,206,18.03,85,226,19.10,91,224,17.01,75,264,20.06,95,252,19.07,86
KeAndre Lambert-Smith,LAC,WR,223,19.08,94,227,19.11,92,,28.07,,,30.01,,248,19.03,84
Diontae Johnson,CLE,WR,279,24.11,116,228,19.12,93,296,21.11,102,202,15.12,73,247,19.01,85
Kyle Juszczyk,SF,FB,,,,229,20.01,1,,29.01,,251,19.09,80,,29.01,
Allen Lazard,NYJ,WR,,,,230,20.02,94,,24.01,,253,19.11,91,,23.12,
Josh Reynolds,NYJ,WR,274,24.04,115,231,20.03,95,,28.02,,229,18.03,84,280,21.08,97
Ray-Ray McCloud,ATL,WR,225,19.10,95,232,20.04,96,,30.06,,228,18.02,83,284,21.12,98
Calvin Austin,PIT,WR,229,20.02,96,233,20.05,97,261,19.01,84,232,18.06,87,278,21.06,95
Theo Johnson,NYG,TE,231,20.04,28,234,20.06,30,278,20.01,32,289,22.04,30,205,16.08,22
Brashard Smith,KC,RB,181,16.02,66,235,20.07,79,257,18.11,72,283,22.02,90,236,18.06,74
Raheem Mostert,LV,RB,216,19.01,77,236,20.08,80,241,17.11,67,242,18.12,71,293,22.09,86
Shedeur Sanders,CLE,QB,284,25.05,34,237,20.09,29,205,15.07,24,315,24.05,36,,30.06,
Kavontae Turpin,DAL,WR,268,23.07,113,238,20.10,98,,28.05,,261,20.03,92,,28.08,
Ja'Tavion Sanders,CAR,TE,230,20.03,27,239,20.11,31,263,19.02,30,292,22.07,33,229,17.12,27
Kenneth Gainwell,PIT,RB,270,23.10,91,240,20.12,81,,28.08,,239,18.09,68,284,21.11,84
Jalen Tolbert,DAL,WR,232,20.05,97,241,21.01,99,,27.03,,262,20.04,93,,27.02,
Amari Cooper,LV,WR,207,18.04,86,242,21.02,100,266,19.03,85,224,17.10,81,298,23.06,100
Tutu Atwell,LAR,WR,251,22.01,106,243,21.03,101,295,21.08,96,231,18.05,86,,31.03,
Devin Neal,NO,RB,224,19.09,79,244,21.04,82,269,19.05,73,250,19.08,79,272,20.11,80
Roman Wilson,PIT,WR,204,18.01,83,245,21.05,102,291,20.09,90,,31.01,,237,18.07,79
Christian Watson,GB,WR,282,25.03,118,246,21.06,103,297,22.03,96,233,18.07,88,,24.09,
Emari Demercado,ARI,RB,273,24.03,92,247,21.07,83,,25.11,,265,20.07,81,,25.12,
Jaylin Noel,HOU,WR,194,17.03,77,248,21.08,104,255,18.10,82,295,22.11,103,247,19.02,83
Audric Estime,DEN,RB,,,,249,21.09,84,,24.03,,,26.11,,266,20.05,77
